,SalesInMillions
0,1.6132422094777743
1,2.1298600351765873
2,3.7517771495961725
3,2.260788510220027
4,1.8650112171335542
5,1.7236511730996997
6,1.7804752108794395
7,1.7156894091133625
8,1.5480041552850494
9,1.683662815046967
10,1.889913612110208
11,2.6445515436469926
12,1.6276185586522123
13,1.608551044840531
14,1.6498948124570578
15,3.010316798358643
16,1.553801906072945
17,1.8988776364827107
18,1.7078063825909773
19,2.6410351057837924
20,1.5836538242937175
21,1.4724632829614546
22,1.8736802712704954
23,3.8336807352738558
24,2.450190496069159
25,1.9666696001927946
26,1.4890921142418592
27,1.4268527290648214
28,1.3976606221660655
29,3.0927128875525325
30,1.598617329179676
31,1.7317293744271363
32,13.027296127736799
33,2.862604692548386
34,1.6230166636846837
35,1.9078518603754608
36,1.6659336448215565
37,2.5823619500629746
38,1.6732190855952975
39,1.5077896844108365
40,1.9168809973612586
41,1.8988333350420534
42,1.6610568678983175
43,1.8112235642941241
44,1.815573339622236
45,1.1997912507011128
46,1.4812721499274861
47,2.689110662177686
48,2.509612095871461
49,1.7994247896907485
50,3.7774445939918335
51,1.8660912383135915
52,2.1156005265586906
53,1.9477347027179586
54,1.858239182795669
55,1.697380620110479
56,1.909741328290284
57,5.042341062632517
58,2.4809528596725734
59,1.3811703218777152
60,2.246317891115925
61,1.5105180811694412
62,1.8295545144231953
63,2.1298220173565787
64,1.8281692247351353
65,2.1192114241164948
66,2.1048666708605768
67,1.852677618861055
68,1.8869399974865393
69,2.158657339974727
70,2.2576075346150786
71,2.043489630313065
72,2.620448125654676
73,2.0726332222093298
74,3.8528685141496917
75,1.884894389613594
76,1.5742192590395732
77,1.7865988367490495
78,1.8416262571892714
79,2.281042077131114
80,1.4898874166433196
81,1.4198767830461447
82,2.1691544417675304
83,1.559135670734334
84,2.165602172180619
85,1.6741002801911944
86,3.084231535095573
87,1.7489286712231928
88,1.56780084202624
89,2.5684549645480677
90,1.501554200672905
91,1.6050277024127813
92,3.0575516439698993
93,1.3571591417398312
94,2.4727037410305086
95,1.5502703321127778
96,2.482658434590465
97,3.1441175979626292
98,2.04432989629908
99,1.5503661296463067
100,1.8651972559958687
101,2.7469172768451116
102,2.078089893701303
103,2.608678661114585
104,1.5833881463625519
105,2.4973061490680304
106,1.509881473285543
107,1.8438837266826553
108,1.5737905697215513
109,1.5135962381369927
110,1.9108696568295447
111,1.7970164420771209
112,4.828197474979587
113,2.0080117914102518
114,2.2002804841794315
115,1.595222753595812
116,2.0597684382636365
117,1.6897679642456034
118,2.284805654987895
119,4.003086962672459
120,1.8233455242053545
121,1.6786300242795884
122,1.5884425687455166
123,1.839626788084726
124,1.697001535761227
125,1.7892544256808132
126,1.9672873571890104
127,2.6087301814559676
128,1.759894151593904
129,1.641135571655169
130,1.6264527905101431
131,1.884675753856439
