,SalesInMillions
0,1.5158664
1,3.6252658
2,4.408232
3,1.8332373
4,2.1931336
5,0.8866582
6,1.5828923
7,2.0451548
8,1.3357493
9,1.1681483
10,2.2534964
11,3.4299479
12,1.1895149
13,1.2297326
14,1.000002
15,1.763126
16,1.0918671
17,1.892405
18,1.9826945
19,2.8360455
20,0.89434415
21,0.5901961
22,1.7387503
23,4.191889
24,2.5128224
25,2.390868
26,1.7433976
27,1.005525
28,2.0840409
29,5.009855
30,1.1256552
31,2.7199152
32,16.269297
33,4.121267
34,1.7921585
35,1.391902
36,1.8596076
37,1.9592699
38,1.9016104
39,1.8948816
40,1.699121
41,1.4360088
42,1.0263807
43,1.9828664
44,2.2509997
45,1.4136323
46,1.6883993
47,2.8812897
48,3.2921264
49,1.6906538
50,5.0244193
51,1.362162
52,1.82891
53,2.097285
54,1.4096832
55,2.592347
56,2.100528
57,6.76606
58,2.9499242
59,1.2118024
60,1.7099339
61,1.5782756
62,1.33649
63,1.4697286
64,1.8900132
65,1.9793655
66,2.5055406
67,2.9177353
68,2.0924704
69,2.1794949
70,1.8997344
71,1.3128377
72,3.7373207
73,1.9383192
74,4.266776
75,1.3857943
76,0.6228599
77,2.3273456
78,1.2886677
79,2.0690174
80,1.5133113
81,1.679916
82,1.6713023
83,1.3322515
84,2.7406435
85,1.2728002
86,2.7442398
87,1.4628458
88,1.814056
89,2.1234589
90,1.7363138
91,1.4022751
92,2.4493668
93,0.8896068
94,1.9785186
95,1.3212367
96,2.1392732
97,2.3088453
98,2.4988682
99,1.4565097
100,2.3853495
101,2.8879478
102,2.6375825
103,3.0491889
104,1.6778191
105,2.8737981
106,1.6749119
107,1.6223373
108,1.9450022
109,0.80673736
110,1.2156109
111,2.0309117
112,7.0838723
113,1.5450176
114,2.1592004
115,0.8246742
116,1.8506888
117,1.4608122
118,1.817818
119,3.9221544
120,2.281811
121,2.1051683
122,0.8186927
123,1.4830928
124,1.7493457
125,1.959764
126,1.3119539
127,1.3139995
128,1.6237856
129,1.6767002
130,0.9347224
131,1.7848352
132,10.861801
133,2.3275404
134,2.4126098
135,0.9566557
136,1.9322047
137,2.191602
138,1.4867898
139,1.6272086
140,2.5198581
141,2.1530979
142,1.4624745
143,1.927041
144,1.7214359
145,2.6664717
146,2.9347515
147,1.4123459
148,3.138603
149,1.4618784
150,0.2867413
151,2.0960863
152,1.8667789
153,2.114868
154,4.392895
155,0.92504376
156,2.431569
157,1.8084003
158,1.8062521
159,1.2764019
160,1.749794
161,0.9723597
162,2.499053
163,13.404855
164,2.1720178
165,1.591909
166,3.0996706
167,1.1766224
168,2.5305736
169,1.4066204
170,2.1347563
171,2.0796685
172,1.1697267
173,2.5604737
174,2.0469007
175,3.0337305
176,1.1978147
177,1.6130686
178,3.3667786
179,1.0937617
180,3.9336948
181,1.1635476
182,0.97864753
183,1.6940259
184,1.5172377
185,2.3591878
186,1.2328523
187,1.5340562
188,1.3556532
189,5.0390534
190,1.941867
191,2.450835
192,1.5873116
193,1.3545285
194,1.6194569
195,0.93979996
196,1.1207509
197,0.6161313
198,1.9933456
199,1.924069
200,1.8511261
201,2.0775402
202,2.0135057
203,1.3392354
204,0.89455223
205,4.1167765
206,2.1857674
207,0.82468945
208,0.8560241
209,0.4581313
210,1.3316451
211,0.72325087
212,6.3986726
213,1.7057385
214,2.3934636
215,4.5872216
216,2.4817579
217,2.233945
218,0.77715987
219,4.2793417
220,1.7077979
221,1.7372123
222,1.9275622
223,1.9468913
224,2.2702856
225,0.7092614
226,1.8894223
227,2.8435078
228,3.4406745
229,1.2655998
230,1.3303832
231,1.1684841
232,2.375928
233,1.6322259
234,1.777414
235,0.88379973
236,1.622625
237,2.3806431
238,4.388665
239,2.4634717
240,5.995585
241,2.6664562
242,1.2384006
243,1.5298462
244,2.6852245
245,2.5079138
246,3.1977406
247,1.627016
248,4.719606
249,3.034579
250,2.2068822
251,1.5333205
252,1.4721346
253,1.9389359
254,2.5783317
255,1.870448
256,1.6410666
257,4.7314644
258,1.6823326
259,1.9404196
260,1.3278958
261,1.5227317
262,1.3242396
263,2.828378
264,5.7312217
265,2.9995377
266,1.4827567
267,1.3888522
268,5.429114
269,1.3795696
270,1.8768162
271,0.54765254
272,1.494186
273,1.3312365
274,1.2472926
275,1.769085
276,3.044604
277,1.9145113
278,5.45302
279,2.0550559
280,2.0116425
281,1.3560606
282,3.7538855
283,2.1894665
284,2.4825554
285,1.0142146
286,1.1361219
287,1.1113011
288,3.347853
289,2.11515
290,1.8984872
291,3.2160919
292,1.2948846
293,1.3521532
294,1.0748287
295,1.6980551
296,1.965479
297,1.8022746
298,3.3310611
299,1.3672549
300,2.3161144
301,0.7663267
302,1.5375651
303,1.7801498
304,4.5322833
305,1.3978068
306,20.824968
307,1.5263625
308,1.2650479
309,1.6079603
310,1.3602582
